What is your gender?,Which category below includes your age?,What is the job title for your current position?,For which place do you have the strongest emotions?,How strong are these emotions?,What kind of feelings do you have for this place?,Why did you choose that place?,Is it where you lived as a child?,Are you proud of it?,Do you still live there?,Do you often find yourself telling other people about the place?,How does it make you feel when you talk about that place?,Is it important to you that others know about that place?,How much do you care other people's feeling about that place?,Do you often look at photos of that place?,Do you often collect things to do with that place?,Do you / did you take a lot of photos of that place?,Do you often wonder the history of that place?,Do you often research the history of that place?,Is there an area or landmark in that place that strongly represents it to you? What is it?,Is it a famous tourist attraction?,Why did you choose that area or landmark?,"When you thought of that area or that place, when images appeared in your mind, what's the weather and the season? Is it day or night? Is the image vivid or fuzzy? How many images appeared in your mind?",Are you part of an active community group in that place?,"If there is one or more active community groups, what are their main activities?",Do you think people in the community care about preserving the history of the place?,"Boo, how much is 3+5? We're nearly finished, we really care about your answers.",Have you ever thought about ways to record or share your feelings for that place?,In what ways do you currently record or share your feelings for that place?,"Imagine the most beautiful way to convey the feelings and experience of that place using an online website, what things would the website need to do or have?"
Male,30-39,Programmer / Founder,"Whistler, BC, Canada",Very strong,"I'm a guy, not good at discussing my feelings :)","It's home, and the most magical place I've ever been!",No,A lot,No,Yes,"It makes me a bit homesick, but also helps me remember the great times and inspire other people to visit.",Very important,A lot,Yes,No,No,No,No,"Not as much as you'd probably think. There isn't a landmark that represents Whistler, and it isn't just another mountain, its about the people and the feelings more than something visual.",Yes,"It chose me, I was invited to move their for a job.","It's crystal clear, though could be winter or summer. Sometimes it's even rainy and blitery, because we enjoy the adventure and challenge in living through all of it.",Active member,"There is an amazing Mountain Bike organization (WORCA), and an amazing company that runs the resort.",A lot,"8, why does this matter? I'm not a robot...and even a robot can add...????",No,just talking to people,"that's your job, not mine! seriously, I don't know. great images on facebook is how I stay connected to the place now that I'm away, as well as some videos posted by the people who are still there."
Male,30-39,Co-Founder,New York,Very strong,cities attach to chapters of my life,because i like the current chapter of my life,No,A lot,Yes,Yes,like jay z (new yooooork),Occasionally,Not really,Yes,No,Yes,Sometimes,Sometimes,world trade center,Yes,it represents the american phallus,summer,Not a member,,A lot,8,No,i don't,i believe there are sites commemorating ground zero  :)
Female,60 or older,senior marketing executive,madurai,Very strong,This is my birth place and live in that place and feel like my home,Because I have been brought up in that place,Yes,A lot,Yes,Yes,I feel happy when i talk about that place,Very important,A lot,Yes,Yes,Yes,Yes,Yes,Meenakshi Amman Temple,Yes,This is the biggest temple in India,"Winter season, Day, Image is vivid,More than 15 images appeared in my mind",Active member,Namma Madurai-bringing people across the globe together for a common cause,A lot,8,Yes,"Through facebook pages, uploading photos in picasa web album","The most beautiful way to covey the feelings and experience is through the facebook pages where we can share the photos, comments with friends"
Male,30-39,Sr.System Administrator,love is the strongest emotion,Very strong,Hope....it's the feeling I have that the feeling I have is not permanent,everything its possible,Yes,A lot,Yes,No,emotion,Very important,Quite a bit,No,Yes,No,Yes,No,areas with few natural landmarks,Yes,silent,day time.lot of images,Occasional member,hunting,A lot,8,Yes,everything,no i don't have online
Male,21-29,,Montreal,Fairly strong,Nostalgia and lots of memories,Where I started dating my partner,No,Quite a bit,No,Sometimes,Happy,Occasionally,Not really,Sometimes,No,Sometimes,Sometimes,No,Mont-Royal,No,It's beautiful in the spring/fall,"late winter, spring and summer during daytime.     Vivid image. lots of images",Not a member,,Quite a bit,"35"" if you consider the two item ""strings",No,just talking about it,"paintings, photography, poems, any books about it, interesting news, things that happened ""on this day"" in the location.    Also tips about events and nice things to do there"
Female,21-29,Co-Founder & CEO,Montreal,Fairly strong,positive,The place where I fell in love,No,Not really,No,Yes,happy,Not important,No,No,No,Yes,No,No,McGill University,No,"went to school there, met my love there.",day and nice weather...although montreal is usually very cold :),Not a member,,A lot,8,No,i have some pictures on facebook.,pictures
Male,30-39,CTO,Atlanta,Very strong,I miss it!,I am away from home.,No,Quite a bit,Yes,Yes,Reminiscent.,Occasionally,Not really,Sometimes,No,Sometimes,Yes,Sometimes,Piedmont Park,Yes,I have many memories of it.,"Vivid. Daytime, with clear weather.",Occasional member,,Quite a bit,8,No,Facebook,Talented designers and developers!
Male,40-49,cto,toronto,Fairly strong,"Warm feeling of relaxation, Friends, family,",Hometown,Yes,Quite a bit,No,,,,,,,,,,,,,,,,,,,,
Male,60 or older,Retired,Bangalore,Fairly strong,"Nostalgic memories, familiarity, security, etc",This is the place I have been living in for many decades and the first place that comes to mind.,Yes,Quite a bit,Yes,Yes,"I know a lot about this place so I have the authority to give away facts about it, be it good or bad.",Fairly important,Quite a bit,No,No,Yes,Sometimes,Sometimes,The place Vijaynagar where I live.,No,I have a house here and have been living here for a lot of years. I have other family here. I know every nook and corner of this place. So I chose this area.,"Day, the image is vivid. More than ten images appeared in my mind",Occasional member,"Fitness/yoga group that hosts occasional marathons, social groups",Not really,8,Sometimes,I write a personal journal to record my thoughts in general.,"Video/audio capability, chatroom, pictures, frequent updates, songs, current affairs, information, facts, maps for tourists. Blogging, games like puzzles, crosswords etc about the place."
Male,40-49,God,"Charles River Prague, Sandpoint Idaho",Very strong,I want my ashes sprinkled there,I've been there adn had powerful connection,No,Not really,No,Sometimes,warm,Occasionally,Not really,No,No,No,No,No,charles river bridge,Yes,It's an amazing place,"early am, quiet, tourists",Not a member,,Quite a bit,8,No,I don't,Great photos of that place ...perhaps scrapbook of my life memories (super hard to do)
Male,21-29,CEO,Bulgaria,Very strong,Home sickness,I grew up there and left exactly 9 years ago.,Yes,A lot,No,Yes,"Nostalgic, home sick",Very important,A lot,Sometimes,No,Yes,Yes,Yes,"Rousse, my home town.",No,I grew up there.,Summer. Clear. It's the street I grew up on.,Not a member,,Quite a bit,8,Yes,Pictures on my public Google+ profile.,"Sorry, I'm biased, and I should say on a map :)"
Male,30-39,CEO,Seattle,Very strong,"Great. Feels like home. Love the people, culture, values, city, sights.",It's home,Yes,A lot,Yes,Yes,"Happy, proud",Very important,Quite a bit,No,Sometimes,Sometimes,Sometimes,No,Space Needle,Yes,A lot of people know it.,Sunny and daylight. Perhaps in the morning.     Several images in my head.,Occasional member,,Not really,8,Sometimes,"Pictures shared on Twitter, Flickr and Facebook","Pictures, words and a story to link things together."
Male,60 or older,Accountant,Chennai,Very strong,Very Happy,Because it is a metropolitan city and providing lot of opportunities,No,A lot,No,Yes,It make me feel happy and satisfies when talking about that place,Very important,A lot,Yes,Yes,Yes,Yes,Yes,Marina Beach,Yes,Because it is good tourist spot,The thought I felt is very happy when imagining the place.It is a day.The wind is vivid.Two images appeared in my mind,Not a member,No,A lot,8,Yes,I would record in my Diary,"The most beautiful way to convey the feelings and experience of that place using an online website is that the website must be appealing, colourful and eyecatching"
Male,21-29,Teacher,"My Home Town, Kadvanthara, Kerala, India",Very strong,"Strong emotional feelings, I feel very nostalgic about this place and I am proud of this place.",This is the place where I was born and brought up and I am having a lot of childhood friends over here. This is the place where I learned about life and ho to live it.,Yes,A lot,Yes,Yes,I feel very proud about that.,Fairly important,A lot,Sometimes,No,Sometimes,Yes,Sometimes,My parish church and my school,No,My main area of learning and enjoyment during my childhood days. This is the place from which I got a lot of good friends.,"A lot of clear image of a rainy season, enjoying the rain with friends.",Occasional member,Creating more bonds about the people in that area and also making the existing bonds stronger through various cultural and social activities.,Quite a bit,8,Yes,We have a Facebook page and we often upload details about the place in that page.,"A lot of photographs showing the beauty of our place. Also, memories from senior members of the community regarding the place."
Female,30-39,It,My birth place,Very strong,Very emotional & happy.,As i lived there for more years & it is more comfortable & happy to live there.,Yes,A lot,Yes,,,,,,,,,,,,,,,,,,,,
Male,30-39,Entrepreneur,The Needles,Fairly strong,"Sense of attachment, nostalgia, calming serenity",It is a beautiful place near where I grew up where I spent a lot of time swimming,Yes,A lot,No,Yes,"Happy, proud and excited to be sharing it",Very important,A lot,Sometimes,No,Sometimes,Sometimes,Sometimes,A swing rope,No,Because it is fun and probably the focal point of the swimming hole.,"I see it, middle of the day, bright sunny clear day. Clear image. A few maybe. More like a 3d rendering of it which I can fly around on demand.",Not a member,-,Not really,8,No,Tell people to go there whenever they visit and have the opportunity.,Beautiful picture(s) of it.
Female,30-39,Teacher,Mumbai,Very strong,Lot of attachment to my place.,I have selected that place because I have born and brought up there.,Yes,A lot,Yes,Yes,I feel very proud.,Very important,A lot,Yes,Yes,Yes,Yes,Sometimes,"GateWay of India,juhu beach,etc",Yes,It is surrounded with sea.,"When I thought about that area,cool weather and evening time appears in mind.The images are vivid.Some what 4 to 5 images appeared in my mind.",Not a member,"NGO,Clubs,etc",A lot,8,Yes,By video shooting and taking pictures so that it will alive forever.,"The Gateway of India is a major tourist destination,popular gathering for local sellers and photographers.The Gateway of India is a monument built during the British Raj in Mumbai (formerly Bombay), India.Located on the waterfront in the Apollo Bunder area in South Mumbai, the monument overlooks the Arabian Sea."
Male,50-59,Medical Transcriptionst,Taj Mahal,Very strong,Love feeling,Best place for love and good memories,No,A lot,No,Yes,Really good.,Very important,A lot,Yes,Yes,Yes,Yes,Yes,No,Yes,really good and beautiful,Mind blowing love and good winter season.  Evening is a good situation. many images appear,Occasional member,No idea,Quite a bit,8,Yes,social media,beautiful scenario
Male,21-29,Teacher,My Home,Very strong,"Love, Nostalgic, Happiness.",It's where I spend my childhood.,Yes,A lot,Yes,Yes,very happy and a little sad.,Very important,Quite a bit,Yes,Yes,Yes,No,No,"Yes,A corner where there use to be a a Guawa Tree.",No,use to spend a lot time there.,"weather is spring, it's daytime, image is very vivid, many.",Not a member,don't know.,No,8,Sometimes,"photographs, videos.","photographs, a lot of them of different years and stories."
Female,30-39,Engineer,New York,Very strong,This is the place I spent my childhood. I have all my nostalgia associated with New York,It is my birth place,Yes,A lot,No,Yes,I feel nostalgic,Very important,A lot,Sometimes,Sometimes,Yes,Sometimes,Sometimes,The then Twin Towers and the now Ground Zero,Yes,I had visited that place many times during my childhood,Busy day rush hours and the images are almost clear and warm,Not a member,Not known,Quite a bit,8,Yes,I have videos recorded and large number of pictures about me in New York and its surrounding.,"It requires only one caption, ""The city full of life"""
Male,50-59,Kingpin,"Buenos Aires, okanagan, bc, berlin",Fairly strong,"Passion, art, freedom beauty, culture",Recommendatins,No,Quite a bit,Yes,Yes,Prideful,Occasionally,Quite a bit,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,
Female,50-59,administrator,Home,Fairly strong,"Happy, angry",true feelings happened at home,No,A lot,Yes,Sometimes,Happy,Fairly important,Quite a bit,Yes,Yes,Yes,Sometimes,No,park around mt house,No,My child spent a lot of time there,"my daughter's laugh, they fall from a bike, all the good memory",Not a member,none,Quite a bit,8,Sometimes,"take pictures, video recordingpost",post the feelings and experience on website likes facebook
Female,30-39,office worker,my church,Fairly strong,"love, hope",I was one of the people that began the church that I belong to,Yes,A lot,Yes,Yes,proud,Fairly important,Quite a bit,No,Yes,No,No,No,no,No,Some other person decide where we should build our church,n/a,Active member,we have sunday service and several group meetings during the week,No,8,No,do not other than tell people,pictures of Jesus and love and happiness and warmth
Female,50-59,Accountant,Singapore,Very strong,Like my Home Town,"Place is very pollution free, neat, good transport",No,A lot,No,Yes,I feel very happy when i talk about that place,Very important,A lot,Yes,Yes,Yes,Yes,Yes,Sentosa Island,Yes,There are endless activities to indulge your every interest,"Spring weather, Day, Image is vivid. More than 20 images",Not a member,People's Association (PA) -Bringing people together,A lot,8,Yes,"By means of uploading photos, videos in the flickr, facebook pages, picasa","The beautiful way is to share our feelings with our friends in the facebook pages, picasa website etc"
Female,21-29,Accoutant,Manager,Very strong,"Know about Position. work hard, achieve  go above",Important of work,Yes,A lot,Yes,Yes,talk about themselves,Fairly important,Quite a bit,Yes,Sometimes,Yes,Yes,Yes,Temple,No,Its Biggest one,Its day may be 100 +,Occasional member,To Help others,Quite a bit,8,Yes,Truly social network sites,Mostly beautifully social network
Male,21-29,ENGINEER,MOUNTAIN,Very strong,LONELY,NATURE,No,A lot,Yes,Yes,ITS AWESOME,Very important,A lot,Yes,Yes,Yes,Yes,Yes,LIC BUILDING,Yes,ITS FAMOUS,DAY,Active member,HILLS,A lot,8,Yes,facebook,nature
Male,30-39,self empolyee,hills area,Average,deep,nature,No,Not really,No,Sometimes,hills,Not important,Not really,No,No,No,Sometimes,No,top hills,Yes,top hills,7,Occasional member,happy,Not really,8,Sometimes,forest area,mist
Female,21-29,HUMAN RESOURCE MANAGER,LOVE,Very strong,KASHMIR,I LIKE THIS,Yes,A lot,Yes,Yes,I LIVE WITH MY PARTNER,Fairly important,Quite a bit,Yes,Yes,Yes,No,Yes,NEAR LIGHT  HOUSE,Yes,BECAUSE IF THERE ONE AND ONLY LANDMARK,ITS NICE,Occasional member,RUNNING,A lot,8,Yes,EMAILS,YES
Female,21-29,embryologist,india,Very strong,motherhood,i was born here,Yes,Quite a bit,Yes,Yes,i feel very good. i feel as if i am telling about my family.,Very important,A lot,No,Yes,Yes,Yes,Yes,yes Taj Mahal,Yes,it is very famous,"the weather was cool, spring season, it was day time, the image was very vivid. there were many image that appeared in my mind.",Not a member,,Quite a bit,8,Yes,my telling my friends about it and writing articles on it,"well, I would like to upload all the pictures of the famous sites and places then write few line on then or upload a video presentation."
Female,21-29,student,beautiful places,Very strong,feel of nice,because of peaceful nature of that place,No,Quite a bit,No,Yes,feel good,Fairly important,Quite a bit,Yes,Yes,No,Yes,Yes,walls,Yes,because it is nice place,rainy,Occasional member,surfing,Quite a bit,8,Yes,by telling people,photos
Female,21-29,freelance writer,"Staunton, Virginia",Fairly strong,"Fairly intense nostalgia, particularly for one street downtown during autumn when it is cold enough to need a coat and when there are leaves on the street.",It's the place I associate most with nostalgia.,No,Quite a bit,No,Sometimes,"It makes me want to visit again, even though that might not happen.",Occasionally,Not really,Sometimes,No,No,No,No,"The main street, primarily.",No,It's where my memory is centered.,"It's autumn, afternoon and overcast. There is a strong breeze. I can pretty much reconstruct the memory.",Not a member,,Quite a bit,8,Yes,I've written about it before. Eventually I'll have to write about it again.,"Lots of photos and travel directions. Writing, too."
Male,21-29,Application Developer,"My birth place, Bahrain",Very strong,"Nostalgic feeling, missing friends, the people, the food. Thinking about it makes me sad that I may never ever get to be there again.",It was the place I grew up in. I have many fond memories of that place.,Yes,A lot,No,Yes,I am very excited when I talk about that place. People can see my enthusiasm while I talk about it.,Very important,Quite a bit,Yes,Sometimes,Yes,Yes,Sometimes,The school where I studied at.,Yes,It was the place where I spent most of my time. It was the place I made all my friends and had the most fun there.,"Images of my friends and my childhood, of how we played together, in the afternoon sun appeared in my mind.",Not a member,Not part of any.,Quite a bit,8,No,Photos and videos of the place were the only way I could record those memories and feelings.,"It would need a blog, a photo and video uploader as well as social networking."
Male,60 or older,Accountant,Chennai,Fairly strong,Happy,Because it is a metropolitan City,No,A lot,No,Yes,I feel very happy because there are lot of opportunities,Very important,A lot,Yes,Yes,Yes,Yes,Yes,Marina Beach,Yes,Because it is a good entertainment place,The thought of that area or place is very pleasing.It is a day.The wind is vivid.I felt very happy about the images that appeared in my mind,Not a member,No,A lot,8,Yes,I record it in my diary,"The  most beautiful way to convey the feelings and experience of that place using an online website is that the website must be attractive, colourful and eyecatching"
Female,21-29,unemployed,India,Very strong,I have religious feelings.,Because of the environment and different culture we see in India.,Yes,A lot,Yes,Yes,Good.,Fairly important,A lot,Yes,Yes,Yes,Yes,Yes,"Yes, Taj Mahal",Yes,Because of its history.,"2 images, vivid and in night.",Occasional member,working for the welfare of the society.,Quite a bit,8,Yes,By sharing photographs.,History of the place and photographs.
Male,30-39,CLERK,HYDERABAD,Very strong,JOYFUL,BECAUSE OF MY COLLEGE DAYS WERE THERE,No,A lot,No,Yes,I AM FEELING PROUD OF IT,Very important,A lot,Yes,Yes,Yes,Yes,Yes,RAMOJI RAO FILM CITY IN HYDERABAD,Yes,I WANT TO SEE THAT PLACE,THAT WAS IN SUMMER DAY. IMAGE WAS VIVID. MORE THAN 25 IMAGES.,Not a member,,A lot,8,Yes,THROUGH FACEBOOK,FACEBOOK
Male,50-59,Business,India,Very strong,Very proud,Feeling good,Yes,A lot,Yes,Yes,Very proud,Very important,A lot,Yes,Yes,Yes,Yes,Yes,Tamil Nadu,Yes,Tourist Place,Good Climate,Occasional member,Yes,A lot,8,Yes,I will share and record for that place,Yes online website is very important
Male,60 or older,BUSINESS,India,Very strong,I feel good being an indian,my native place,Yes,A lot,Yes,Yes,Feeling good and very proud and tell some history of the place,Very important,A lot,Yes,Yes,Yes,Yes,Sometimes,Tamilnadu- Madurai,Yes,Temple city,Good weather condition always,Occasional member,Yes,A lot,8,Yes,share and record the famous temple and history of the place,while online website the most feeling and experience about the famous temple
Female,30-39,Lecturer,New Delhi,Very strong,"Nice, attached, my home",I spent my childhood here,Yes,A lot,No,Sometimes,"homely, proud",Fairly important,Quite a bit,Sometimes,Sometimes,Sometimes,No,Yes,Connaught Place,Yes,"central place, a place where I used to go regularly in my childhood","mild winter, evening time, strong images, many images",Occasional member,Social service,Not really,8,Sometimes,"via social media, preserving photos","social circle representing a delhite, markets and shopping places, its history"
Female,21-29,Facilities Corrdinator,Saint John Hospital,Very strong,"Sad, unpleasant, bittersweet.",This is the place my mom died.,No,Not really,No,Sometimes,"It brings back a lot of painful memories, but also a sense of relief that its over.",Occasionally,Not really,No,No,No,Sometimes,No,There is a statue of a Catholic saint in the front of the hospital.,No,I would see it every day as I would drive up to visit her.,"It's summer. I picture my mom as she was when she was lucid and as she was when she was despondent. Most of the images involve my family, her, and the hospital room. The images have become a little fuzzy now, but some are still very vivid.",Not a member,N/A,Quite a bit,8,Yes,I bought a keepsake memory book for that time period. I wrote in it often around that time. I still read it from time to time to remember everything that happened.,"Pictures of my mom alone, and with her family. Pictures of the hospital staff who took such good care of her. The pressed dried flowers from her room. A few pieces of poetry."
Male,21-29,Research Assistant,India,Very strong,"India is the my birth country, so it is like a mother to me.",because of the various tradition India carries.,Yes,A lot,Yes,Yes,I feel proud.,Very important,Quite a bit,Yes,Yes,Yes,Yes,Yes,"yes, Hyderabad",Yes,Because of the good food taste and various historical monuments.,1 image.  Day and it is vivid.,Active member,To roam around the place and work forr the welfare of the place.,A lot,8,Yes,"Through facebook, using photos and videos.",Option of upload and downloading photos and videos.
Female,30-39,Home Health Aide,Grandmother's home,Very strong,"happiness, safety, warmth, holidays, summer, gardens",I spent a lot of time there growing up.,No,A lot,No,Yes,"Happy and sad both, nostalgic",Fairly important,Not really,Yes,No,Yes,Yes,No,my grandmother's kitchen.,No,It was the heart of the house.,One afternoon on Dec 24th.  It was cold and raining outside.  The furnace kept coming on and I'd go stand on the vent with my bare feet.  My grandmother was making cakes for the next day's dinner.  It smelled of lemon extract.,Not a member,,Not really,8,No,I've never thought about it.,"Have the ability to post pictures, maybe to write a paragraph or two under each one.  A link to Google earth for an overhead view would be nice."
Male,21-29,Unemployed,Home,Very strong,"Love, Passion",It's where I spend most of my time and where my family lives.,No,A lot,Yes,No,Neutral,Not important,Not really,Sometimes,No,Yes,Yes,Yes,My school,Yes,It's where I received my education.,One image of a statue.,Not a member,,A lot,8,No,Where a shirt or watch a game.,Video.
Male,21-29,software engineer,india,Very strong,very strong emotions,my birth country,Yes,A lot,Yes,Yes,very proud,Very important,A lot,Yes,Yes,Yes,Yes,Yes,tajmahal,Yes,it is one of the wonders of the world,very good place,Active member,no,A lot,8,Yes,my telling to the other people about the people,to represent the culture of the country
Male,30-39,CTO,Shanghai,Very strong,Love,All my memories of childhood is there.,Yes,A lot,No,Sometimes,Complex,Not important,Not really,Sometimes,Sometimes,Yes,Yes,Yes,外滩,Yes,It's beautiful... and crowded,"3, night,",Occasional member,Photograher,A lot,8,Sometimes,Photos,"Photos, videos, documentaries"
Male,21-29,Programmer,Ooty,Fairly strong,Very memorable,Hill Station,No,Quite a bit,No,Yes,Very Pleasant,Fairly important,A lot,Sometimes,Sometimes,Yes,Sometimes,Sometimes,No,Yes,Very Cool Climate,Drizzling weather Spring season.   Day   Vivid  4 to 5 images,Not a member,Not applicable,Quite a bit,8,Sometimes,By Photos,Small Video clip
Male,40-49,mturk worker,in the crowd place,Average,tension,for doing some work,Yes,Not really,No,No,normal,Occasionally,Quite a bit,No,Sometimes,Sometimes,Yes,Yes,,,,,,,,,,,
Male,50-59,Business,India,Very strong,Very Proud,Feeling good,Yes,A lot,Yes,Yes,Very Proud,Very important,A lot,Yes,Yes,Yes,Yes,Yes,Tamil Nadu,Yes,Tourist Place,Always Good weather,Not a member,,A lot,8,Yes,Very Important place,Important tourist place
Male,60 or older,Business,India,Very strong,BEING AN INDIAN IS VERY PROUD,My native place,Yes,A lot,Yes,Yes,I tell very good thing and history of the place,Very important,A lot,Yes,Yes,Yes,Yes,Yes,Tamilnadu - madurai,Yes,temple city,good climate and good season alway.,Not a member,,A lot,8,Yes,very interesting place,The big temple city and very famous temple in that place.
Male,30-39,engineer,coimbatore,Very strong,i miss that place,climate is good,Yes,Quite a bit,No,Yes,i feel good when i talk about it,Very important,Quite a bit,Yes,Sometimes,Sometimes,Sometimes,Sometimes,"there is a big hills, ooty",Yes,climate is good and everybody will like that  place,"it was summer season , it was  daytime, and the image was good",Occasional member,health related programs,Quite a bit,8,Yes,i share something in facebook,list of  all the history and current activities of that place
Female,30-39,Lecturer,New Delhi,Fairly strong,Feeling of own place,I spent my childhood here,Yes,A lot,No,Sometimes,"Nice, attached",Fairly important,Not really,Sometimes,Sometimes,Yes,No,Sometimes,Connaught Place,Yes,Central place and where I used to go regularly in my childhood,"Mild winter, evening time, image is very strong, many images appear in my mind",Occasional member,Social service,Not really,8,Yes,It's my home and home is above everything else,"The history, tourist attractions, the social circle representing the Delhite, markets and shopping"
Female,40-49,Feelings About Places,kerala,Average,i love my kerala,"green, love",Yes,A lot,Yes,Yes,"temples, sea, beautiful nature, history",Very important,A lot,Yes,Yes,Yes,Yes,Yes,"kovalam beach, attukal temples, sree padmanabha temple -found maha nidhi(treasure)",Yes,god's own country,"kathakali, backwater coconut trees",Not a member,"agricultural,  tourism,",A lot,8,Sometimes,no,no idea
Male,30-39,Manager,The place where I spend my childhood.,Very strong,"Happiness, Nostalgia, Joy, Exuberance",Because it is the only place I crave to go back to. It is the only place that brings me nothing but happy memories.,Yes,A lot,No,Sometimes,"It makes me feel excited. Every time I talk to someone about the place, I relive the experience I had in this place, which brings in a sense of fulfillment in me.",Occasionally,Not really,Yes,Sometimes,Yes,Yes,Sometimes,"The entire area is a landmark. It was an old British settlement, later converted in to government quarters for government staff.",No,It is unique and different from the bustling city that surrounds it.,I get a clear image in my mind. It is a day (late morning) and I am sitting below a large tree (for shade) with my friends and we were telling stories to each other. I get many images in my mind.,Not a member,,Quite a bit,8,Yes,I have many photographs of that place and I visit the place every once in a while and capture the changes that have happened there in my camera.,It needs to have a photo sharing option or a blog that would let me describe my feelings about this place.
Male,21-29,employee,ooty,Very strong,I most effected to this place.,It is a tourist place that I like very much.,No,A lot,No,Yes,very proud.,Very important,A lot,Yes,Yes,Yes,Yes,Yes,"no , i go there once in a year .",Yes,because it is Queen of hill stations .,"Ooty generally features pleasantly mild conditions throughout the year. However, nighttime in the months of January and February is typically chilly. Generally, the town appears to be eternally stuck in the spring season.",Not a member,A lot of action have been carried out in the past few years to maintain the precarious ecosystem that is present in this part of the region. Plastic carry bags have been banned for years now. Residents as well as shopkeepers prefer to use only recycled paper or cloth bags for normal use,A lot,8,Yes,i have so many photographs of that place and i share my feelings looking them  so many times.,internet.
Male,21-29,senior software engineer,my birth place,Fairly strong,i feel very special and nostalgia feeling.,i have spend my childhood at there.,Yes,A lot,No,Yes,i got really excited about talking .,Fairly important,Quite a bit,Yes,Yes,Yes,No,No,there was a big ground where we used to play.,Yes,there we spend our leisure time with friends.,the image was many children s playing around me at evening and i being one among them.,Active member,playing,Not really,8,Yes,i still visit that place with my childhood friends.,it should have all the photos of our childhood with natural beauties that we saw together.
Female,17 or younger,Teacher,pubic,Very strong,sad,coimbatore,No,A lot,Yes,,,,,,,,,,,,,,,,,,,,
Female,30-39,computer operator,hill station,Very strong,happy jumping with full joy,"fresh air,unpolluted area less noise",Yes,A lot,No,Yes,happy and flying high like a bird in the sky,Occasionally,A lot,Yes,Yes,Yes,Yes,Yes,yes its a lake and garden,Yes,"less noise,unpolluted area,fresh air","chill climate,day time , two or three images will come to my mind",Not a member,"working in private industries,business man",Quite a bit,8,Yes,"taking photo, messaging friends about the highlights of that place","displaying more photos, free ticket to visit the tourist place,important functions and events going on there"
Female,21-29,un employee,India,Very strong,life is very hard to maintain without money.,my native place,Yes,A lot,Yes,Yes,good,Fairly important,A lot,Yes,Yes,Yes,Yes,Yes,vellore,Yes,low cost of living,Normal,Active member,no,A lot,8,Yes,friends,yes
Male,21-29,Part time job,india,Very strong,"My nation,i was boned and lived in India,my motherland.","Because its my country,",Yes,A lot,Yes,Yes,"I feel very proud and happy  when sharing thoughts about my country,,,",Very important,A lot,Yes,Yes,Sometimes,Yes,Sometimes,"Yes,, kerala.",Yes,"Because  Kerala is known as Gods own  country,,,, It is one of the most beautiful landscape in India.,","It day now,Thousands of many images appeared in my mind..",Active member,"Attracting tourstis, Guiding them,",A lot,8,Sometimes,"Am very emotionally saying thoughts about my place,,,, am very happy and feeling proud...","They will do things for attract peoples mainly tourists by tourist packages, and providing relavent informations ....."
Male,21-29,Engineer,Kerala,Very strong,"It's a beautiful place filled with lot of trees, animals etc",Because it''s my native place,Yes,A lot,Yes,Yes,I found myself very enthusiastic while talking about this place.,Fairly important,A lot,Sometimes,Yes,Sometimes,Sometimes,Sometimes,"Yes, Thekkady",Yes,The area is full of forest filled with lot of animals.,"Winter, Day, Vivid, 2 or 3",Not a member,Don't know,Not really,8,Yes,I occasionally blog about that place.,"First of all, it should contain some photos of place, add details about the near by hotels and home stays."
Female,40-49,owner,"Elgin,Arizona",Very strong,"love, consideration, calm",It is Heaven on Earth,No,A lot,No,Yes,Happy,Very important,Quite a bit,Yes,Yes,Yes,No,No,the view from my friends back patio,No,It is comfortable and inviting.,It is night. The stars are all around.It is a cool evening with a slight breeze.,Not a member,community service,Quite a bit,8,No,Take pictures.,A lot of pictures and soft music in the background.
Male,30-39,Accountant,Munnar-A top station,Very strong,Mind blowing feelings and refreshing body and mind,Its make me more fresh and mentally healthy,No,A lot,No,Yes,Am better feeling its touchness and mind pass through its memories,Very important,A lot,Yes,Yes,Yes,Yes,Yes,Spices park,Yes,Makes me more mentally health,"Cold and foggy,Day time,vivid,8",Occasional member,"Tourist help,Local community development",Quite a bit,8,Yes,"Taking Images and creating a blog album,share my experience with friends,compell others to visit once","Map,History of the place,Hotels available,Spots to be visited"
Female,40-49,accountant,parent's house where I grew up,Very strong,"sentimental, love, happy memories","it is associated with home, family, and growing up",Yes,A lot,No,Sometimes,"happy, wanting to visit, sad that I live so far from my family",Not important,Not really,No,No,No,No,No,the entire town holds memories,No,I did not choose a specific place that others would consider a landmark,I tend to think of summers growing up there even though I have great year-round memories,Not a member,unsure,Not really,8,No,"Because most of the friends I had growing up no longer live there, when I go to visit, I focus on visiting my parents who still live there","Since it is my personal childhood home, I do not think that it could be captured on a website in a manner which others could understand.  However, I do think that a website which contains images of many people's homes and childhood pictures could be done in such a way so that it could make many peole relive childhood memories and evoke their own feelings of nostalgia"
Male,21-29,Executive Assistant,United Arab Emirates,Very strong,Adoring and fascination,That has been my dream place since childhood,No,No,Yes,Yes,I feel proud and happy when i talk about that place,Fairly important,Quite a bit,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,
Male,21-29,Labor,parks,Average,happiness,I'm happy,Yes,A lot,Yes,Yes,Proud,Fairly important,Quite a bit,Yes,Yes,Yes,Yes,Yes,creek,No,it got an old railroad buried in the sand,vivid,Not a member,,Not really,8,No,I talk about it,"images, video, message board"
